Feature	VariableImportance
ELK4_MA0076.2	5.03531342632098e-05
EGR1_MA0162.2	4.997114613264e-05
POU6F1_MA0628.1	4.98468491691439e-05
MNX1_MA0707.1	4.902175579788e-05
TFAP2B.var.2._MA0812.1	4.84227525348269e-05
LBX2_MA0699.1	4.7816072299105e-05
TBX5_MA0807.1	4.64510469755812e-05
NFE2L2_MA0150.1	4.6247074072955e-05
GABPA_MA0062.1	4.6149321094856e-05
ALX3_MA0634.1	4.50364235806335e-05
NFIC_MA0161.1	4.42936221504919e-05
TFAP2A.var.2._MA0810.1	4.19435433051993e-05
MSX2_MA0708.1	4.11755023540517e-05
FLI1_MA0475.1	4.09165037619104e-05
VSX2_MA0726.1	4.02712358258586e-05
EMX1_MA0612.1	3.92124036581003e-05
GBX2_MA0890.1	3.89014522486253e-05
MAX_MA0058.1	3.84626555444958e-05
MSX1_MA0666.1	3.78499323462265e-05
SP1_MA0079.1	3.73129396275633e-05
SREBF2_MA0596.1	3.69358377581743e-05
ESX1_MA0644.1	3.6754151239232e-05
TFAP2B_MA0811.1	3.66193451886934e-05
HOXA2_MA0900.1	3.65884752494301e-05
ELF1_MA0473.1	3.34166591801852e-05
NKX6.1_MA0674.1	3.25940781015053e-05
NFIA_MA0670.1	3.13532087961137e-05
GSX1_MA0892.1	3.06997078433597e-05
MNT_MA0825.1	3.063789978238e-05
TEAD1_MA0090.1	2.92911516764995e-05
NHLH1_MA0048.2	2.88747849653612e-05
CREB1_MA0018.2	2.8573698301676e-05
EVX1_MA0887.1	2.83319508355191e-05
FOXO4_MA0848.1	2.78620211677423e-05
TFEC_MA0871.1	2.69169952901611e-05
FOXP3_MA0850.1	2.69115941480353e-05
SOX10_MA0442.1	2.67756220998732e-05
STAT3_MA0144.2	2.60236435955259e-05
TFAP2C_MA0524.2	2.54051752902398e-05
HOXA5_MA0158.1	2.42183439028436e-05
EMX2_MA0886.1	2.3685752073235e-05
TBX15_MA0803.1	2.29770468807931e-05
GATA5_MA0766.1	2.29067273407881e-05
HIC2_MA0738.1	2.25904055838249e-05
PAX4_MA0068.2	2.2409296490711e-05
E2F6_MA0471.1	2.08628838257228e-05
FEV_MA0156.2	2.05533480240767e-05
FOXO6_MA0849.1	2.05026108146693e-05
MGA_MA0801.1	2.04828673765411e-05
CDX1_MA0878.1	1.9973695916089e-05
LBX1_MA0618.1	1.996710344824e-05
GATA3_MA0037.2	1.96980325772598e-05
HESX1_MA0894.1	1.96585518274495e-05
FOXA1_MA0148.2	1.96501541422867e-05
MAX_MA0058.3	1.96292949891397e-05
TFCP2_MA0145.3	1.8759924698867e-05
ERG_MA0474.2	1.82942399503954e-05
TBX1_MA0805.1	1.82708254318358e-05
REL_MA0101.1	1.82329843026297e-05
OTX2_MA0712.1	1.80258642516204e-05
RELA_MA0107.1	1.7996320700437e-05
NR4A2_MA0160.1	1.76071574338976e-05
FOXI1_MA0042.1	1.74581130366158e-05
E2F4_MA0470.1	1.74536532089582e-05
ETV4_MA0764.1	1.72888681042318e-05
FOXI1_MA0042.2	1.72670073687193e-05
SREBF1_MA0595.1	1.70064587181382e-05
SP8_MA0747.1	1.65704576424066e-05
TFAP4_MA0691.1	1.60082146785705e-05
BHLHE40_MA0464.2	1.59300355982879e-05
CEBPE_MA0837.1	1.5762238157244e-05
TFE3_MA0831.1	1.57534574280904e-05
STAT1_MA0137.3	1.55953312780424e-05
SRY_MA0084.1	1.54653826298028e-05
JUN_MA0488.1	1.48373687200722e-05
TFAP2C_MA0524.1	1.46012588655626e-05
CEBPB_MA0466.1	1.45960022410081e-05
E2F1_MA0024.1	1.4104529169781e-05
MEOX2_MA0706.1	1.37082943974494e-05
NOTO_MA0710.1	1.36176642946872e-05
MEIS1_MA0498.2	1.35373228535189e-05
GBX1_MA0889.1	1.34169743353707e-05
ETV1_MA0761.1	1.31580098500064e-05
MAX..MYC_MA0059.1	1.27873216465437e-05
GMEB2_MA0862.1	1.25919917205699e-05
RUNX2_MA0511.2	1.19395216428178e-05
NEUROD2_MA0668.1	1.16989425190259e-05
NKX2.3_MA0672.1	1.12599936242643e-05
ELK3_MA0759.1	1.09102855392447e-05
TFAP2B.var.3._MA0813.1	1.08353559418022e-05
LHX6_MA0658.1	1.0738064867442e-05
FOXP2_MA0593.1	1.0565257857303e-05
BHLHE22_MA0818.1	1.0153667312105e-05
EBF1_MA0154.2	1.00571803030567e-05
DBP_MA0639.1	1.00164170923076e-05
FOXA1_MA0148.1	8.85402567376503e-06
ERF_MA0760.1	8.81767625243035e-06
NFKB1_MA0105.1	8.7700850397785e-06
HOXA10_MA0899.1	8.62283489194771e-06
TP63_MA0525.1	8.52105304816608e-06
NFYA_MA0060.1	8.33717458670446e-06
FOXC2_MA0846.1	8.29556240368468e-06
FOXB1_MA0845.1	8.17362574802694e-06
ELK4_MA0076.1	7.99640356686182e-06
FLI1_MA0475.2	7.97211391546915e-06
TFEB_MA0692.1	7.74635516886146e-06
EN2_MA0642.1	7.71778434223269e-06
VENTX_MA0724.1	7.58213587508272e-06
HOXD13_MA0909.1	7.21905845744919e-06
MYF6_MA0667.1	7.17667345667317e-06
LHX2_MA0700.1	7.03110134529195e-06
TFAP2A.var.3._MA0872.1	6.92095274396776e-06
YY1_MA0095.2	6.84454950720292e-06
ATF4_MA0833.1	6.79663701647093e-06
MLXIPL_MA0664.1	6.70397588222293e-06
NFKB1_MA0105.3	6.66000030843694e-06
HEY1_MA0823.1	6.65500367633687e-06
CEBPB_MA0466.2	6.25945196000521e-06
MEOX1_MA0661.1	6.14459336073891e-06
MEIS2_MA0774.1	6.00807969916417e-06
HOXB13_MA0901.1	5.60937620907609e-06
TBX4_MA0806.1	5.5634597490557e-06
OLIG2_MA0678.1	5.41754014095841e-06
NKX3.1_MA0124.1	5.2494240359191e-06
TFAP2C.var.3._MA0815.1	4.83854435089448e-06
NFKB1_MA0105.2	4.53941296155969e-06
FOXH1_MA0479.1	4.49123166814114e-06
TBX21_MA0690.1	4.45686959408942e-06
CEBPA_MA0102.3	4.38792069083593e-06
TAL1..TCF3_MA0091.1	4.01112227088718e-06
SOX9_MA0077.1	3.92938230416129e-06
JDP2.var.2._MA0656.1	3.85217382363923e-06
NFKB2_MA0778.1	3.69830977096353e-06
HES7_MA0822.1	3.56078692498341e-06
USF1_MA0093.2	3.48711441438221e-06
PHOX2A_MA0713.1	3.4510187865e-06
BARHL2_MA0635.1	3.42573488394859e-06
USF2_MA0526.1	3.42558094400869e-06
FOXD1_MA0031.1	3.41737280504906e-06
ATF7_MA0834.1	3.41528717413153e-06
FOXL1_MA0033.2	3.39426008658972e-06
JUND.var.2._MA0492.1	3.00576294882648e-06
FOXD2_MA0847.1	2.98824448352208e-06
DUXA_MA0884.1	2.88332721773421e-06
TP73_MA0861.1	2.85382129198286e-06
DMRT3_MA0610.1	2.71345173363757e-06
TCF7L2_MA0523.1	2.59316920167452e-06
PAX7_MA0680.1	2.57252415285048e-06
BHLHE41_MA0636.1	2.52917600617852e-06
SMAD3_MA0795.1	2.45442363199433e-06
MAF..NFE2_MA0501.1	2.40769025930354e-06
NEUROG2_MA0669.1	2.3504936696368e-06
PROP1_MA0715.1	2.29859742207794e-06
EVX2_MA0888.1	2.16525456996841e-06
NFATC3_MA0625.1	2.12164635523604e-06
MAX_MA0058.2	2.12134675081721e-06
TBR1_MA0802.1	2.00627926193664e-06
RUNX2_MA0511.1	1.98118447701012e-06
NR2F1_MA0017.1	1.83730097486468e-06
NFATC2_MA0152.1	1.77713395180823e-06
HLF_MA0043.2	1.72198863379003e-06
ELK1_MA0028.2	1.70234472813302e-06
CUX2_MA0755.1	1.52146668997033e-06
ZBTB18_MA0698.1	1.49338776287333e-06
HSF4_MA0771.1	1.46252994508123e-06
MLX_MA0663.1	1.32225434255884e-06
AR_MA0007.2	1.30003987646288e-06
PLAG1_MA0163.1	1.27285892255014e-06
TP53_MA0106.2	1.22746334881541e-06
STAT1_MA0137.1	1.22707926198617e-06
KLF14_MA0740.1	1.19028035895385e-06
POU4F1_MA0790.1	1.1546107175171e-06
CREB1_MA0018.1	1.08378707691625e-06
ZBTB33_MA0527.1	8.9355509894129e-07
DUX4_MA0468.1	8.63028596026716e-07
TBX20_MA0689.1	8.49106801069643e-07
MZF1.var.2._MA0057.1	8.34912744178906e-07
TFAP2A_MA0003.2	8.3207738225477e-07
INSM1_MA0155.1	7.74865645074785e-07
FOXA1_MA0148.3	6.95498270149253e-07
HEY2_MA0649.1	6.67586816327503e-07
RUNX3_MA0684.1	6.25801561700223e-07
RFX4_MA0799.1	6.25779483480526e-07
MAFK_MA0496.1	5.97962788219109e-07
CEBPD_MA0836.1	5.94114207375318e-07
POU2F1_MA0785.1	5.79504315693091e-07
FOXG1_MA0613.1	5.45028256491387e-07
MSC_MA0665.1	5.13276200944324e-07
HSF1_MA0486.2	5.00897184076754e-07
ZBTB7B_MA0694.1	4.99249358842713e-07
EHF_MA0598.2	4.79962713041404e-07
ISL2_MA0914.1	4.73808166737921e-07
HOXC11_MA0651.1	4.08284981846752e-07
SPIC_MA0687.1	4.0816842314606e-07
FOXF2_MA0030.1	3.68408729685354e-07
PRDM1_MA0508.1	3.66262246842553e-07
SPI1_MA0080.4	3.63719358607684e-07
NFKB1_MA0105.4	3.62636526832993e-07
GCM1_MA0646.1	3.61699576564067e-07
CLOCK_MA0819.1	3.40322629768908e-07
EOMES_MA0800.1	2.93214984315338e-07
REST_MA0138.1	2.75080877946365e-07
ELF1_MA0473.2	2.61003322945097e-07
STAT1..STAT2_MA0517.1	2.42342349952462e-07
ETV2_MA0762.1	1.84969946363189e-07
REST_MA0138.2	1.81521147213815e-07
RREB1_MA0073.1	1.81225081551162e-07
ONECUT1_MA0679.1	1.80963884709673e-07
NFYA_MA0060.2	1.80884956542116e-07
ZIC4_MA0751.1	1.80835864414863e-07
ELF3_MA0640.1	1.80521707735304e-07
EBF1_MA0154.3	1.8017954594618e-07
RFX5_MA0510.2	1.79969405201152e-07
RFX3_MA0798.1	1.795332136445e-07
RORA.var.2._MA0072.1	1.79287790972538e-07
PROX1_MA0794.1	1.79195412597366e-07
CUX1_MA0754.1	1.6629995700268e-07
ZBTB7C_MA0695.1	1.56838979653573e-07
Pax6_MA0069.1	1.01050929668611e-07
NR2C2_MA0504.1	1.00536451558275e-07
PAX3_MA0780.1	8.70254366722723e-08
YY2_MA0748.1	3.74944733798621e-08
POU3F1_MA0786.1	2.81637218049191e-08
SRF_MA0083.2	2.17287759562979e-09
HNF1B_MA0153.2	7.27804855049641e-10
ONECUT2_MA0756.1	6.89071102621952e-10
IRF2_MA0051.1	0
PPARG..RXRA_MA0065.1	0
PPARG_MA0066.1	0
RXRA..VDR_MA0074.1	0
SRF_MA0083.1	0
TP53_MA0106.1	0
ESR1_MA0112.1	0
NR3C1_MA0113.1	0
NR1H2..RXRA_MA0115.1	0
ESR1_MA0112.2	0
RARA..RXRA_MA0159.1	0
ESR2_MA0258.1	0
MAFF_MA0495.1	0
PAX5_MA0014.2	0
CENPB_MA0637.1	0
ELF4_MA0641.1	0
IRF8_MA0652.1	0
IRF9_MA0653.1	0
KLF13_MA0657.1	0
MAFG_MA0659.1	0
POU4F2_MA0683.1	0
SRF_MA0083.3	0
T_MA0009.2	0
ZIC1_MA0696.1	0
ZIC3_MA0697.1	0
ESR1_MA0112.3	0
NR3C1_MA0113.3	0
NR3C2_MA0727.1	0
RARA_MA0729.1	0
RARA.var.2._MA0730.1	0
BCL6B_MA0731.1	0
EGR3_MA0732.1	0
EGR4_MA0733.1	0
GLIS1_MA0735.1	0
GLIS2_MA0736.1	0
GLIS3_MA0737.1	0
SCRT1_MA0743.1	0
SCRT2_MA0744.1	0
ZBED1_MA0749.1	0
ZNF143_MA0088.2	0
ZNF410_MA0752.1	0
ONECUT3_MA0757.1	0
E2F3_MA0469.2	0
E2F7_MA0758.1	0
LEF1_MA0768.1	0
IRF7_MA0772.1	0
MYBL1_MA0776.1	0
MYBL2_MA0777.1	0
PAX1_MA0779.1	0
PAX9_MA0781.1	0
PKNOX1_MA0782.1	0
PKNOX2_MA0783.1	0
POU4F3_MA0791.1	0
RFX2_MA0600.2	0
TGIF1_MA0796.1	0
TGIF2_MA0797.1	0
TBX19_MA0804.1	0
BATF3_MA0835.1	0
CREB3L1_MA0839.1	0
XBP1_MA0844.1	0
RXRB_MA0855.1	0
RXRG_MA0856.1	0
TP63_MA0525.2	0
TP53_MA0106.3	0
MTF1_MA0863.1	0
E2F2_MA0864.1	0
E2F8_MA0865.1	0
SOX21_MA0866.1	0
SOX4_MA0867.1	0
SOX8_MA0868.1	0
E2F1_MA0024.3	-1.21035677747017e-09
HOXD12_MA0873.1	-1.92146856958786e-09
NKX2.8_MA0673.1	-2.10640692208663e-08
ZNF263_MA0528.1	-2.19038451261255e-08
CEBPG_MA0838.1	-3.37076268621672e-08
FOXP1_MA0481.1	-5.41791850834361e-08
RFX5_MA0510.1	-5.7010743832242e-08
HES5_MA0821.1	-8.37772314352669e-08
HNF4A_MA0114.2	-1.2741958576501e-07
NHLH1_MA0048.1	-1.51763374947933e-07
HNF1A_MA0046.2	-1.60073633871383e-07
GLI2_MA0734.1	-1.75728484597792e-07
SREBF2.var.2._MA0828.1	-1.7611995118938e-07
OLIG1_MA0826.1	-1.79048771027146e-07
HOXC12_MA0906.1	-1.80652154276872e-07
SP4_MA0685.1	-1.80815477804686e-07
HSF2_MA0770.1	-2.0381869589392e-07
GCM2_MA0767.1	-2.58111639027891e-07
ZBTB7A_MA0750.1	-2.71008833238051e-07
SPDEF_MA0686.1	-2.97769621012467e-07
PBX1_MA0070.1	-3.37980575281671e-07
HNF4G_MA0484.1	-3.40117148639907e-07
NFIL3_MA0025.1	-3.42834104722245e-07
EWSR1.FLI1_MA0149.1	-3.60905237668741e-07
CREB3_MA0638.1	-3.63473025215333e-07
NKX3.2_MA0122.2	-3.64041567865625e-07
NFYB_MA0502.1	-4.14854001090426e-07
ESRRB_MA0141.3	-4.5788452827833e-07
SMAD2..SMAD3..SMAD4_MA0513.1	-4.64905526736281e-07
IRF1_MA0050.2	-5.25304055515319e-07
HINFP_MA0131.2	-5.43098153473309e-07
HINFP_MA0131.1	-5.43922751363946e-07
HOXD11_MA0908.1	-5.67226309327484e-07
POU2F2_MA0507.1	-6.38503796029699e-07
GATA2_MA0036.2	-6.80689674506629e-07
STAT1_MA0137.2	-6.90238176405345e-07
POU1F1_MA0784.1	-6.91188056500813e-07
GATA1..TAL1_MA0140.2	-7.23600084827636e-07
NFIC..TLX1_MA0119.1	-7.47369224219918e-07
ETV3_MA0763.1	-7.74515702975709e-07
TEF_MA0843.1	-7.94214832126716e-07
ZNF740_MA0753.1	-8.25822341566695e-07
MEF2D_MA0773.1	-8.47125350820877e-07
RFX2_MA0600.1	-8.63609378681129e-07
HLF_MA0043.1	-9.02951628495741e-07
HNF1B_MA0153.1	-9.38439323989737e-07
POU5F1B_MA0792.1	-9.43306387900966e-07
POU3F4_MA0789.1	-9.5202963151042e-07
ESR2_MA0258.2	-1.00659707376272e-06
HSF1_MA0486.1	-1.08719938483559e-06
GRHL1_MA0647.1	-1.20536010417549e-06
TBX2_MA0688.1	-1.23519983175746e-06
MEF2B_MA0660.1	-1.32026818428188e-06
GSC2_MA0891.1	-1.52695529218905e-06
POU3F2_MA0787.1	-1.74929282991942e-06
PITX3_MA0714.1	-1.78553364698431e-06
EGR2_MA0472.2	-1.80238623999474e-06
HOXC13_MA0907.1	-1.90007185716068e-06
MEF2A_MA0052.2	-1.95450082677628e-06
FOXC1_MA0032.2	-1.98352076398089e-06
NR2F1_MA0017.2	-2.35499676263862e-06
POU3F3_MA0788.1	-2.51974825227785e-06
CDX2_MA0465.1	-2.56963946291955e-06
HOXC10_MA0905.1	-2.65371619567145e-06
HOXA13_MA0650.1	-2.93899833590094e-06
OLIG3_MA0827.1	-3.30442315543111e-06
POU6F2_MA0793.1	-3.36887490735127e-06
IRF1_MA0050.1	-3.46809905827494e-06
GSC_MA0648.1	-3.50363783282126e-06
MEIS3_MA0775.1	-3.52508512349758e-06
ESRRA_MA0592.1	-3.55587699691529e-06
NRL_MA0842.1	-4.199072463547e-06
MEF2C_MA0497.1	-4.56265082245522e-06
BHLHE23_MA0817.1	-4.6086703292425e-06
RUNX1_MA0002.1	-4.78000700672054e-06
MEF2A_MA0052.3	-4.87174901640364e-06
FOXO3_MA0157.1	-5.32057000604658e-06
MEF2A_MA0052.1	-5.66542264027992e-06
FOXO3_MA0157.2	-5.97702193143879e-06
HMBOX1_MA0895.1	-7.55675581713255e-06
RORA_MA0071.1	-8.50441870009022e-06
